time_s,period_us
17.439999999999717,150373
17.459999999999717,157973
17.479999999999716,165952
17.499999999999716,174327
17.519999999999715,183117
17.539999999999715,192343
17.559999999999715,202026
17.579999999999714,212186
17.599999999999714,222847
17.619999999999713,234032
17.639999999999713,245766
17.659999999999712,258074
17.679999999999712,270983
17.69999999999971,284520
17.71999999999971,298716
17.73999999999971,313599
17.75999999999971,329201
17.77999999999971,345555
17.79999999999971,362694
17.81999999999971,380652
17.83999999999971,399467
17.859999999999708,419176
17.879999999999708,439817
17.899999999999707,461430
17.919999999999707,484058
17.939999999999706,507742
17.959999999999706,532526
17.979999999999706,558457
17.999999999999705,585581
18.019999999999705,613946
18.039999999999704,643600
18.059999999999704,674595
18.079999999999703,706981
18.099999999999703,740812
18.119999999999703,776141
18.139999999999702,813023
18.1599999999997,851513
18.1799999999997,891668
18.1999999999997,933543
18.2199999999997,977198
18.2399999999997,1022688
18.2599999999997,1070073
18.2799999999997,1119409
18.2999999999997,1170755
18.3199999999997,1224168
18.339999999999698,1279703
18.359999999999697,1337418
18.379999999999697,1397365
18.399999999999697,1459598
18.419999999999696,1524167
18.439999999999696,1591123
18.459999999999695,1660510
18.479999999999695,1732372
18.499999999999694,1806750
18.519999999999694,1883679
18.539999999999694,1963194
18.559999999999693,2045320
18.579999999999693,2130083
18.599999999999692,2217498
18.619999999999692,2307580
18.63999999999969,2400333
18.65999999999969,2495757
18.67999999999969,2593846
18.69999999999969,2694584
18.71999999999969,2797949
18.73999999999969,2903910
18.75999999999969,3012431
18.77999999999969,3123464
18.799999999999688,3236953
18.819999999999688,6000000
18.839999999999687,6000000
18.859999999999687,6000000
18.879999999999686,6000000
18.899999999999686,6000000
18.919999999999686,6000000
18.939999999999685,6000000
18.959999999999685,6000000
18.979999999999684,6000000
18.999999999999684,6000000
19.019999999999683,6000000
19.039999999999683,6000000
19.059999999999683,6000000
19.079999999999682,6000000
19.09999999999968,6000000
19.11999999999968,6000000
19.13999999999968,6000000
19.15999999999968,6000000
19.17999999999968,6000000
19.19999999999968,6000000
19.21999999999968,6000000
19.23999999999968,6000000
19.25999999999968,6000000
19.279999999999678,6000000
19.299999999999677,6000000
19.319999999999677,6000000
19.339999999999677,6000000
19.359999999999676,6000000
19.379999999999676,6000000
19.399999999999675,6000000
19.419999999999675,6000000
19.439999999999674,6000000
19.459999999999674,6000000
19.479999999999674,6000000
19.499999999999673,6000000
19.519999999999673,6000000
19.539999999999672,6000000
19.559999999999672,6000000
19.57999999999967,6000000
19.59999999999967,6000000
19.61999999999967,6000000
19.63999999999967,6000000
19.65999999999967,6000000
19.67999999999967,6000000
19.69999999999967,6000000
19.71999999999967,6000000
19.739999999999668,6000000
19.759999999999668,6000000
19.779999999999667,6000000
19.799999999999667,6000000
19.819999999999666,6000000
19.839999999999666,6000000
19.859999999999665,6000000
19.879999999999665,6000000
19.899999999999665,6000000
19.919999999999664,6000000
19.939999999999664,6000000
19.959999999999663,6000000
19.979999999999663,6000000
19.999999999999662,6000000
